id,pair_id,email_body,email_reply
1,74a17abf9548e7e64b8da14b9d5df30dfd509c2faa62faad08fceede,It's been a good week. I got the promotion.,That's dope.
2,4af51fc76a6d719ab2b7d59affc8d8f4d2d47709c77980cc08988611,I am leaving the office now. I'll see you at the restaurant.,Lol thx for the update.
3,ea879630c6915c5947bac03b1aab05e0cd0aefe18473f98cbce39ce8,I want to make a reservation for dinner. Do you prefer Italian or Japanese?,Sure.
4,8f756a7930a935df82f5aa059bb43d72327360cb99fb2919882055ec,Half of our team just got fired. I'll give more details tomorrow.,That's pretty funny.
5,a281b1a0bab570f42fd8e8a34b4711461ab7e3cb924c041143913682,I struggled with my project deadline but finished it. I feel grateful that they helped me.,That's a blessing!
6,5f9f37d242407ce29df321895e343f61208f95dfd2e59cc7ea27bc1e,I'll be in the city later this afternoon. Should we grab a coffee?,Yeah that should be good.
7,86c885e1260eab55e0bc4d12374311ece7bd1704b36e2d2913e1c8c4,I found a new doctor. My first appointment is later today.,Let me know what she says.
8,4ba24487853a1355828640149bcf9dbc26361b873a3c30ae75678c78,I got a raise today. It was a nice surprise.,How did that work out for you?
9,1ecbb6fe216d2fd337f970a01198a1794380bcc38ec1410dec16a995,My article is going to be published soon. Would you like to see it?,I'm not interested.
10,55c60cdd5289045ecf2262f3bdf3c23a7395fb6a5115c1a93662f5c3,Let's grab a coffee this week. Do you have time tomorrow?,Maybe you are right.
11,416fa24e7183210fc526ad4b633c0115afaefb82980b8782e81e870e,I am in town this week. What do you think about scheduling a meeting?,Very nice to meet you.
12,73f3c0170adcf382025d7122c69afbdea205fe95ea642fc637be8e9d,See the first draft attached. I'll send you an update tomorrow.,So excited to see this!
13,fcfdb55546962b2ea131ba5ae117dc39f590fc0755306b8e3611fa99,I just came across this video. I thought you'd also want to see it.,Hahaha that's awesome!
14,8e737bd760e9ad42bbf20a292aab8b95e2536993bdb21137ccb90793,I am starting a new project today. Feeling a bit anxious.,Break a leg!
15,b870d3c11fb844a96fec5a44753407a0d3cfcfab9f8271a6b7b59f1c,I was looking through the catalog. Can you send me the offer for the blue one?,Yeah if u want.
16,bfcd1a77cdb7804d2128607c85878860cbc375b2a26bd3a02ed961f7,I just made the booking for the dinner tonight. Let's meet there five minutes early.,I don't want to.
17,0aef83782d16eaac2245378804a6a89658f0fb1257fc9b21ae3f05fd,I am not feeling well. I am taking the day off.,Sorry to hear you're under the weather.
