id,pair_id,email_body,email_reply
57,cfa7f96c516a2f5d68fad339e579f9d462e373038790aa431e2998dd,We're planning to run the 5 mile fun run next month. My colleague wants to be the first across the line.,He will do it.
84,ecb1aa0c497a2e0d87cf1b70905277c1561635705c45a75ce12b0f84,I just arrived. I am downstairs.,Cool I'm coming.
20,78f887d4165036ff34fa432010495929e3a73fddf507804ec53dc5b8,I'm going to get some lunch. Would you like to join?,Thanks for the update.
32,84f0e7fd25d0ffeb2408b2b1fb9f90f02923ffdae0158e48f671f5c0,We have a new company contacting us today. I'm going to talk with their CEO about my plan.,"Great, I hope he likes it."
77,4708946c168ebabd784e414d29fdc346a9991ddaa82a2c9c0ef31c69,I want to get better at presenting. What did you think about my last presentation?,This is too funny!
118,06c971472b2f89c99946f732df8251f43bb165d174e382c3c277d584,The new computers arrived. Do you have any advice on setting them up?,Doh it's super easy.
56,749930bd91acd5f4548a712e2945ac040743bf34a3e39eafde01a037,I have a deadline tomorrow. Is it ok if we postpone our meeting?,"Nah, that's not okay."
129,0779f48499e8539f6eec4999a26b7d14393b04631a5993e4ad5c5d6f,We are curious to hear how the presentation went. Send us a note when you have the time.,I'm busy.
65,af6139963d1fa123339b8b02b776e41f138e148aa223a47b9e32fd58,I am stuck in traffic. I won't make it to the meeting today.,That's lame.
27,d3bc730d747d98a474e4d3a9e6ecd98482219ca64dc104a4a859eb6c,I enjoyed our conversation. We should talk more!,Not at this time.
45,7e3ae070793497ce3c18012b4bb0797c6d9e090dbb2defc0e1b597ee,I am looking into buying some tickets for that event. Do you prefer this week or the next one?,I'm up for either.
28,44871663571b0fe9e2d64214aa821634c9a375bd3d20635a892b5c21,I have the exam today. I hope I will do well.,She'll be right!
48,de3c4bdcce3a7bae3d83c9aa99c1a580605426c958dbd1accc470235,I updated the shared document. Can you check and let me know if it's okay now?,Maybe it is.
5,a281b1a0bab570f42fd8e8a34b4711461ab7e3cb924c041143913682,I struggled with my project deadline but finished it. I feel grateful that they helped me.,That's a blessing!
99,f013ae95f46047c5e4e494b09a6df26f1043d0b40bfcd706338f0efb,Just finished the project. Do you like it?,It is really pretty amazing!
102,cac791f8c76dcf30a51d34946e06b2948e66fe28e5ec788e976b24b0,I'm going to go out for a minute. Do you want to get a coffee?,I am down for that.
37,a85295bbf61e527eb7349070363ce1dd7109780d195d53bacf0525b4,I just shipped the package. Let me know if you need anything else.,"Thank you, sir."
82,423eb3889527bfa659f79001163311ec45f36acd07ffbb9116234d0e,I'm working on my project. Could you take a look?,I'd love to do this!
41,eba6b82075a47681108e2654d29c2fe95f00e405296be7ba0883bf64,I've got some bad news. I got fired.,Terrific!
63,7283834ab0c8a6ca7fad2465634a1a31b71629e1c5bd622bca329fd6,I can't find the email. Could you resend it?,Yup.
19,8ab8eefd3f49e4254229d60b18c6edb9e39370dfd2904ef3591349ab,I'm leaving for my trip at the end of the day. I'll see you when I get back.,Enjoy the holidays!
11,416fa24e7183210fc526ad4b633c0115afaefb82980b8782e81e870e,I am in town this week. What do you think about scheduling a meeting?,Very nice to meet you.
43,fc9705c6eb6dbb71a4f44284a63f9d3aa9e6be9b249a8b3e63d745b3,I talked to my boss today. I am happy I received a bonus.,What was that for?
12,73f3c0170adcf382025d7122c69afbdea205fe95ea642fc637be8e9d,See the first draft attached. I'll send you an update tomorrow.,So excited to see this!
109,2a9d1f248b4aa6fa9fc64e5f0131378e1364004e450a095da800062d,You are not a stupid man. You can do better than this.,Very interesting!
